Organization,Country,Publications,Citations,Altmetric
University of Central Florida,United States,10,63,100
University of Colombo,Sri Lanka,10,52,53
University of Cyprus,Cyprus,10,23,8
University of Debrecen,Ireland,10,42,7
University of Illinois Urbana-Champaign,United States,10,193,176
University of Milan,Italy,10,128,114
University of Montpellier,Tunisia,10,88,536
University of Nairobi,Kenya,10,5,62
University of Primorska,Slovenia,10,24,5
University of Rijeka,Croatia,10,15,7
University of Tartu,Estonia,10,56,244
University of Turin,Italy,10,121,250
University of Valle,Greece,10,311,11747
University of Wollongong,Australia,10,42,42
Yonsei University,South Korea,10,180,48
Zayed University,United Arab Emirates,10,37,7
